driverStandingsId,Driver_code,Driver_code,Driver_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
159,14,ALO,Fernando Alonso,2010,18,São Paulo Grand Prix,246,1,5,354
160,44,HAM,Lewis Hamilton,2010,18,São Paulo Grand Prix,222,4,3,354
161,27,HUL,Nico Hülkenberg,2010,18,São Paulo Grand Prix,22,13,0,354
162,14,ALO,Fernando Alonso,2010,19,Abu Dhabi Grand Prix,252,2,5,355
163,44,HAM,Lewis Hamilton,2010,19,Abu Dhabi Grand Prix,240,4,3,355
164,27,HUL,Nico Hülkenberg,2010,19,Abu Dhabi Grand Prix,22,14,0,355
165,14,ALO,Fernando Alonso,2005,5,Spanish Grand Prix,44,1,3,75
166,14,ALO,Fernando Alonso,2011,1,Australian Grand Prix,12,4,0,841
167,44,HAM,Lewis Hamilton,2011,1,Australian Grand Prix,18,2,0,841
168,44,HAM,Lewis Hamilton,2011,5,Spanish Grand Prix,77,2,1,845
169,14,ALO,Fernando Alonso,2011,5,Spanish Grand Prix,51,5,0,845
170,11,PER,Sergio Pérez,2011,5,Spanish Grand Prix,2,14,0,845
171,44,HAM,Lewis Hamilton,2011,6,Monaco Grand Prix,85,2,1,846
172,14,ALO,Fernando Alonso,2011,6,Monaco Grand Prix,69,5,0,846
173,11,PER,Sergio Pérez,2011,6,Monaco Grand Prix,2,15,0,846
174,44,HAM,Lewis Hamilton,2011,7,Canadian Grand Prix,85,4,1,847
175,14,ALO,Fernando Alonso,2011,7,Canadian Grand Prix,69,5,0,847
176,11,PER,Sergio Pérez,2011,7,Canadian Grand Prix,2,16,0,847
177,44,HAM,Lewis Hamilton,2011,9,British Grand Prix,109,4,1,849
178,14,ALO,Fernando Alonso,2011,9,British Grand Prix,112,3,1,849
179,11,PER,Sergio Pérez,2011,9,British Grand Prix,8,14,0,849
180,44,HAM,Lewis Hamilton,2011,11,Hungarian Grand Prix,146,3,2,851
181,14,ALO,Fernando Alonso,2011,11,Hungarian Grand Prix,145,4,1,851
182,11,PER,Sergio Pérez,2011,11,Hungarian Grand Prix,8,15,0,851
183,11,PER,Sergio Pérez,2011,12,Belgian Grand Prix,8,15,0,852
184,44,HAM,Lewis Hamilton,2011,12,Belgian Grand Prix,146,5,2,852
185,14,ALO,Fernando Alonso,2011,12,Belgian Grand Prix,157,3,1,852
186,44,HAM,Lewis Hamilton,2011,13,Italian Grand Prix,158,5,2,853
187,14,ALO,Fernando Alonso,2011,13,Italian Grand Prix,172,2,1,853
188,11,PER,Sergio Pérez,2011,13,Italian Grand Prix,8,16,0,853
189,44,HAM,Lewis Hamilton,2011,14,Singapore Grand Prix,168,5,2,854
190,14,ALO,Fernando Alonso,2011,14,Singapore Grand Prix,184,3,1,854
191,11,PER,Sergio Pérez,2011,14,Singapore Grand Prix,9,16,0,854
192,44,HAM,Lewis Hamilton,2011,15,Japanese Grand Prix,178,5,2,855
193,14,ALO,Fernando Alonso,2011,15,Japanese Grand Prix,202,3,1,855
194,11,PER,Sergio Pérez,2011,15,Japanese Grand Prix,13,15,0,855
195,44,HAM,Lewis Hamilton,2011,18,Abu Dhabi Grand Prix,227,5,3,858
196,14,ALO,Fernando Alonso,2011,18,Abu Dhabi Grand Prix,245,3,1,858
197,11,PER,Sergio Pérez,2011,18,Abu Dhabi Grand Prix,14,16,0,858
198,44,HAM,Lewis Hamilton,2011,19,São Paulo Grand Prix,227,5,3,859
199,14,ALO,Fernando Alonso,2011,19,São Paulo Grand Prix,257,4,1,859
200,11,PER,Sergio Pérez,2011,19,São Paulo Grand Prix,14,16,0,859
201,27,HUL,Nico Hülkenberg,2012,1,Australian Grand Prix,0,22,0,860
202,11,PER,Sergio Pérez,2012,1,Australian Grand Prix,4,8,0,860
203,14,ALO,Fernando Alonso,2012,1,Australian Grand Prix,10,5,0,860
204,44,HAM,Lewis Hamilton,2012,1,Australian Grand Prix,15,3,0,860
205,44,HAM,Lewis Hamilton,2012,4,Bahrain Grand Prix,49,2,0,863
206,14,ALO,Fernando Alonso,2012,4,Bahrain Grand Prix,43,5,1,863
207,11,PER,Sergio Pérez,2012,4,Bahrain Grand Prix,22,9,0,863
208,27,HUL,Nico Hülkenberg,2012,4,Bahrain Grand Prix,2,16,0,863
209,44,HAM,Lewis Hamilton,2012,5,Spanish Grand Prix,53,3,0,864
210,14,ALO,Fernando Alonso,2012,5,Spanish Grand Prix,61,2,1,864
211,11,PER,Sergio Pérez,2012,5,Spanish Grand Prix,22,10,0,864
212,27,HUL,Nico Hülkenberg,2012,5,Spanish Grand Prix,3,15,0,864
213,44,HAM,Lewis Hamilton,2012,6,Monaco Grand Prix,63,4,0,865
214,14,ALO,Fernando Alonso,2012,6,Monaco Grand Prix,76,1,1,865
215,11,PER,Sergio Pérez,2012,6,Monaco Grand Prix,22,10,0,865
216,27,HUL,Nico Hülkenberg,2012,6,Monaco Grand Prix,7,15,0,865
217,44,HAM,Lewis Hamilton,2012,7,Canadian Grand Prix,88,1,1,866
218,14,ALO,Fernando Alonso,2012,7,Canadian Grand Prix,86,2,1,866
219,11,PER,Sergio Pérez,2012,7,Canadian Grand Prix,37,9,0,866
220,27,HUL,Nico Hülkenberg,2012,7,Canadian Grand Prix,7,15,0,866
221,44,HAM,Lewis Hamilton,2012,9,British Grand Prix,92,4,1,868
222,14,ALO,Fernando Alonso,2012,9,British Grand Prix,129,1,2,868
223,11,PER,Sergio Pérez,2012,9,British Grand Prix,39,9,0,868
224,27,HUL,Nico Hülkenberg,2012,9,British Grand Prix,17,16,0,868
225,14,ALO,Fernando Alonso,2012,11,Hungarian Grand Prix,164,1,3,870
226,44,HAM,Lewis Hamilton,2012,11,Hungarian Grand Prix,117,4,2,870
227,11,PER,Sergio Pérez,2012,11,Hungarian Grand Prix,47,9,0,870
228,27,HUL,Nico Hülkenberg,2012,11,Hungarian Grand Prix,19,16,0,870
229,44,HAM,Lewis Hamilton,2012,12,Belgian Grand Prix,117,5,2,871
230,14,ALO,Fernando Alonso,2012,12,Belgian Grand Prix,164,1,3,871
231,11,PER,Sergio Pérez,2012,12,Belgian Grand Prix,47,9,0,871
232,27,HUL,Nico Hülkenberg,2012,12,Belgian Grand Prix,31,13,0,871
233,44,HAM,Lewis Hamilton,2012,13,Italian Grand Prix,142,2,3,872
234,14,ALO,Fernando Alonso,2012,13,Italian Grand Prix,179,1,3,872
