,GrandPrix_name,Driver_name,avg_pit_stop_time_ms,avg_pit_stop_count,total_pit_stop_time_ms
89,Belgian Grand Prix,Yuki Tsunoda,27154.0,1.5,40731.0
90,British Grand Prix,Alexander Albon,29474.2,1.4,41263.88
91,British Grand Prix,Carlos Sainz,30208.333333333332,1.5333333333333334,46319.444444444445
92,British Grand Prix,Charles Leclerc,28327.555555555555,1.3333333333333333,37770.07407407407
93,British Grand Prix,Esteban Ocon,28822.375,1.25,36027.96875
94,British Grand Prix,Fernando Alonso,27735.565217391304,1.7826086956521738,49441.65973534971
95,British Grand Prix,George Russell,28539.0,1.5714285714285714,44847.0
96,British Grand Prix,Kevin Magnussen,29210.18181818182,1.4545454545454546,42487.53719008265
97,British Grand Prix,Lance Stroll,27998.615384615383,1.5384615384615385,43074.79289940828
98,British Grand Prix,Lando Norris,28661.8,1.6,45858.880000000005
99,British Grand Prix,Lewis Hamilton,28184.833333333332,1.5416666666666667,43451.618055555555
100,British Grand Prix,Max Verstappen,28740.25,1.75,50295.4375
101,British Grand Prix,Nico Hülkenberg,28721.125,1.5625,44876.7578125
102,British Grand Prix,Sergio Pérez,28800.82608695652,1.7391304347826086,50088.39319470699
103,British Grand Prix,Valtteri Bottas,29244.11111111111,1.3888888888888888,40616.82098765432
104,British Grand Prix,Yuki Tsunoda,29468.2,1.8,53042.76
105,Canadian Grand Prix,Alexander Albon,28428.0,1.3333333333333333,37904.0
106,Canadian Grand Prix,Carlos Sainz,28855.714285714286,1.2857142857142858,37100.204081632655
107,Canadian Grand Prix,Charles Leclerc,24532.333333333332,1.0,24532.333333333332
108,Canadian Grand Prix,Esteban Ocon,24597.75,1.25,30747.1875
109,Canadian Grand Prix,Fernando Alonso,23836.0,1.4615384615384615,34837.230769230766
110,Canadian Grand Prix,George Russell,23902.0,1.3333333333333333,31869.333333333332
111,Canadian Grand Prix,Kevin Magnussen,26581.14285714286,1.1428571428571428,30378.448979591838
112,Canadian Grand Prix,Lance Stroll,23923.0,1.0,23923.0
113,Canadian Grand Prix,Lando Norris,33583.0,1.5,50374.5
114,Canadian Grand Prix,Lewis Hamilton,22745.615384615383,1.3076923076923077,29744.266272189347
115,Canadian Grand Prix,Max Verstappen,23501.571428571428,1.2857142857142858,30216.30612244898
116,Canadian Grand Prix,Nico Hülkenberg,23319.416666666668,1.3333333333333333,31092.555555555555
117,Canadian Grand Prix,Sergio Pérez,23179.727272727272,1.2727272727272727,29501.471074380162
118,Canadian Grand Prix,Valtteri Bottas,23704.3,1.3,30815.59
119,Canadian Grand Prix,Yuki Tsunoda,23349.0,1.5,35023.5
120,Dutch Grand Prix,Alexander Albon,18464.5,2.5,46161.25
121,Dutch Grand Prix,Carlos Sainz,22672.25,1.75,39676.4375
122,Dutch Grand Prix,Charles Leclerc,18247.6,2.2,40144.72
123,Dutch Grand Prix,Esteban Ocon,18584.5,1.75,32522.875
124,Dutch Grand Prix,Fernando Alonso,18964.75,1.75,33188.3125
125,Dutch Grand Prix,George Russell,21126.2,1.8,38027.16
126,Dutch Grand Prix,Kevin Magnussen,20583.25,2.5,51458.125
127,Dutch Grand Prix,Lance Stroll,18613.4,2.2,40949.48
128,Dutch Grand Prix,Lando Norris,20531.75,1.75,35930.5625
129,Dutch Grand Prix,Lewis Hamilton,18367.5,2.0,36735.0
130,Dutch Grand Prix,Max Verstappen,18455.333333333332,2.1666666666666665,39986.55555555555
