constructorStandingsId,Constructor_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
251,Ferrari,1981,13,Italian Grand Prix,30,5,2,495
252,McLaren,1981,13,Italian Grand Prix,22,6,1,495
253,Williams,1981,14,Canadian Grand Prix,86,1,3,496
254,Alfa Romeo,1981,14,Canadian Grand Prix,6,10,0,496
255,Ferrari,1981,14,Canadian Grand Prix,34,5,2,496
256,McLaren,1981,14,Canadian Grand Prix,28,6,1,496
257,Williams,1981,15,Caesars Palace Grand Prix,95,1,4,497
258,Alfa Romeo,1981,15,Caesars Palace Grand Prix,10,9,0,497
259,Ferrari,1981,15,Caesars Palace Grand Prix,34,5,2,497
260,McLaren,1981,15,Caesars Palace Grand Prix,28,6,1,497
261,Williams,1982,4,Emilia Romagna Grand Prix,14,4,0,470
262,McLaren,1982,4,Emilia Romagna Grand Prix,20,2,1,470
263,Alfa Romeo,1982,4,Emilia Romagna Grand Prix,0,12,0,470
264,Ferrari,1982,4,Emilia Romagna Grand Prix,16,3,1,470
265,Williams,1982,6,Monaco Grand Prix,21,4,0,472
266,McLaren,1982,6,Monaco Grand Prix,29,1,2,472
267,Alfa Romeo,1982,6,Monaco Grand Prix,4,9,0,472
268,Ferrari,1982,6,Monaco Grand Prix,22,3,1,472
269,Williams,1982,8,Canadian Grand Prix,26,4,0,474
270,McLaren,1982,8,Canadian Grand Prix,42,1,3,474
271,Alfa Romeo,1982,8,Canadian Grand Prix,5,9,0,474
272,Ferrari,1982,8,Canadian Grand Prix,26,3,1,474
273,Williams,1982,9,Dutch Grand Prix,32,4,0,475
274,McLaren,1982,9,Dutch Grand Prix,45,1,3,475
275,Alfa Romeo,1982,9,Dutch Grand Prix,5,9,0,475
276,Ferrari,1982,9,Dutch Grand Prix,35,3,2,475
277,Williams,1982,13,Austrian Grand Prix,46,3,0,479
278,McLaren,1982,13,Austrian Grand Prix,56,2,4,479
279,Alfa Romeo,1982,13,Austrian Grand Prix,7,9,0,479
280,Ferrari,1982,13,Austrian Grand Prix,64,1,3,479
281,Williams,1982,15,Italian Grand Prix,55,4,1,481
282,McLaren,1982,15,Italian Grand Prix,63,2,4,481
283,Alfa Romeo,1982,15,Italian Grand Prix,7,9,0,481
284,Ferrari,1982,15,Italian Grand Prix,74,1,3,481
285,Ferrari,1982,16,Caesars Palace Grand Prix,74,1,3,482
286,Alfa Romeo,1982,16,Caesars Palace Grand Prix,7,9,0,482
287,Williams,1982,16,Caesars Palace Grand Prix,58,4,1,482
288,McLaren,1982,16,Caesars Palace Grand Prix,69,2,4,482
289,McLaren,1983,4,Emilia Romagna Grand Prix,21,2,1,455
290,Williams,1983,4,Emilia Romagna Grand Prix,12,5,0,455
291,Ferrari,1983,4,Emilia Romagna Grand Prix,22,1,1,455
292,Alfa Romeo,1983,4,Emilia Romagna Grand Prix,0,11,0,455
293,McLaren,1983,5,Monaco Grand Prix,21,4,1,456
294,Williams,1983,5,Monaco Grand Prix,21,5,1,456
295,Ferrari,1983,5,Monaco Grand Prix,25,1,1,456
296,Alfa Romeo,1983,5,Monaco Grand Prix,1,8,0,456
297,McLaren,1983,6,Belgian Grand Prix,21,5,1,457
298,Williams,1983,6,Belgian Grand Prix,24,4,1,457
299,Ferrari,1983,6,Belgian Grand Prix,31,2,1,457
300,Alfa Romeo,1983,6,Belgian Grand Prix,1,9,0,457
301,McLaren,1983,8,Canadian Grand Prix,26,5,1,459
302,Williams,1983,8,Canadian Grand Prix,35,3,1,459
303,Ferrari,1983,8,Canadian Grand Prix,44,2,2,459
304,Alfa Romeo,1983,8,Canadian Grand Prix,1,9,0,459
305,McLaren,1983,9,British Grand Prix,27,5,1,460
306,Williams,1983,9,British Grand Prix,35,3,1,460
307,Ferrari,1983,9,British Grand Prix,50,2,2,460
308,Alfa Romeo,1983,9,British Grand Prix,1,9,0,460
309,McLaren,1983,11,Austrian Grand Prix,30,5,1,462
310,Williams,1983,11,Austrian Grand Prix,36,4,1,462
311,Ferrari,1983,11,Austrian Grand Prix,65,2,3,462
312,Alfa Romeo,1983,11,Austrian Grand Prix,7,7,0,462
313,McLaren,1983,12,Dutch Grand Prix,34,5,1,463
314,Williams,1983,12,Dutch Grand Prix,36,4,1,463
315,Ferrari,1983,12,Dutch Grand Prix,80,1,4,463
316,Alfa Romeo,1983,12,Dutch Grand Prix,9,7,0,463
317,McLaren,1983,13,Italian Grand Prix,34,5,1,464
318,Williams,1983,13,Italian Grand Prix,36,4,1,464
319,Ferrari,1983,13,Italian Grand Prix,89,1,4,464
320,Alfa Romeo,1983,13,Italian Grand Prix,9,7,0,464
321,Williams,1984,4,Emilia Romagna Grand Prix,9,5,0,439
322,Ferrari,1984,4,Emilia Romagna Grand Prix,19,2,1,439
323,Alfa Romeo,1984,4,Emilia Romagna Grand Prix,6,6,0,439
324,McLaren,1984,4,Emilia Romagna Grand Prix,33,1,3,439
325,McLaren,1984,6,Monaco Grand Prix,46.5,1,5,441
326,Williams,1984,6,Monaco Grand Prix,11.5,5,0,441
327,Alfa Romeo,1984,6,Monaco Grand Prix,6,6,0,441
328,Ferrari,1984,6,Monaco Grand Prix,24.5,2,1,441
329,McLaren,1984,7,Canadian Grand Prix,56.5,1,5,442
330,Williams,1984,7,Canadian Grand Prix,11.5,5,0,442
331,Alfa Romeo,1984,7,Canadian Grand Prix,6,7,0,442
332,Ferrari,1984,7,Canadian Grand Prix,26.5,2,1,442
333,McLaren,1984,12,Austrian Grand Prix,92.5,1,8,447
334,Williams,1984,12,Austrian Grand Prix,25.5,6,1,447
335,Alfa Romeo,1984,12,Austrian Grand Prix,6,8,0,447
336,Ferrari,1984,12,Austrian Grand Prix,40.5,2,1,447
337,McLaren,1984,13,Dutch Grand Prix,107.5,1,9,448
338,Williams,1984,13,Dutch Grand Prix,25.5,6,1,448
339,Alfa Romeo,1984,13,Dutch Grand Prix,6,8,0,448
340,Ferrari,1984,13,Dutch Grand Prix,40.5,3,1,448
341,Ferrari,1984,14,Italian Grand Prix,46.5,2,1,449
342,Alfa Romeo,1984,14,Italian Grand Prix,10,8,0,449
343,Williams,1984,14,Italian Grand Prix,25.5,6,1,449
344,McLaren,1984,14,Italian Grand Prix,116.5,1,10,449
345,McLaren,1985,3,Emilia Romagna Grand Prix,12,3,1,422
346,Ferrari,1985,3,Emilia Romagna Grand Prix,16,2,0,422
347,Alfa Romeo,1985,3,Emilia Romagna Grand Prix,0,12,0,422
348,Williams,1985,3,Emilia Romagna Grand Prix,4,6,0,422
349,McLaren,1985,4,Monaco Grand Prix,21,3,2,423
350,Ferrari,1985,4,Monaco Grand Prix,22,2,0,423
351,Alfa Romeo,1985,4,Monaco Grand Prix,0,13,0,423
352,Williams,1985,4,Monaco Grand Prix,4,7,0,423
353,McLaren,1985,5,Canadian Grand Prix,25,3,2,424
354,Ferrari,1985,5,Canadian Grand Prix,37,1,1,424
355,Alfa Romeo,1985,5,Canadian Grand Prix,0,12,0,424
356,Williams,1985,5,Canadian Grand Prix,8,5,0,424
357,McLaren,1985,8,British Grand Prix,38,2,3,427
358,Ferrari,1985,8,British Grand Prix,56,1,1,427
359,Alfa Romeo,1985,8,British Grand Prix,0,10,0,427
360,Williams,1985,8,British Grand Prix,23,4,1,427
361,McLaren,1985,10,Austrian Grand Prix,55,2,4,429
362,Ferrari,1985,10,Austrian Grand Prix,72,1,2,429
363,Alfa Romeo,1985,10,Austrian Grand Prix,0,10,0,429
364,Williams,1985,10,Austrian Grand Prix,24,4,1,429
365,McLaren,1985,11,Dutch Grand Prix,70,2,5,430
366,Ferrari,1985,11,Dutch Grand Prix,75,1,2,430
367,Alfa Romeo,1985,11,Dutch Grand Prix,0,10,0,430
368,Williams,1985,11,Dutch Grand Prix,25,4,1,430
369,McLaren,1985,12,Italian Grand Prix,79,1,6,431
370,Ferrari,1985,12,Italian Grand Prix,77,2,2,431
371,Alfa Romeo,1985,12,Italian Grand Prix,0,10,0,431
372,Williams,1985,12,Italian Grand Prix,25,4,1,431
373,McLaren,1985,13,Belgian Grand Prix,83,1,6,432
374,Ferrari,1985,13,Belgian Grand Prix,77,2,2,432
375,Alfa Romeo,1985,13,Belgian Grand Prix,0,10,0,432
376,Williams,1985,13,Belgian Grand Prix,34,4,1,432
377,Williams,1986,3,Emilia Romagna Grand Prix,21,1,1,406
378,Ferrari,1986,3,Emilia Romagna Grand Prix,3,6,0,406
379,McLaren,1986,3,Emilia Romagna Grand Prix,18,2,1,406
380,Williams,1986,4,Monaco Grand Prix,24,2,1,407
381,Ferrari,1986,4,Monaco Grand Prix,3,6,0,407
382,McLaren,1986,4,Monaco Grand Prix,33,1,2,407
383,Williams,1986,5,Belgian Grand Prix,33,2,2,408
384,Ferrari,1986,5,Belgian Grand Prix,10,5,0,408
385,McLaren,1986,5,Belgian Grand Prix,34,1,2,408
386,Williams,1986,6,Canadian Grand Prix,46,1,3,409
387,Ferrari,1986,6,Canadian Grand Prix,10,5,0,409
388,McLaren,1986,6,Canadian Grand Prix,43,2,2,409
389,Williams,1986,11,Hungarian Grand Prix,102,1,7,414
390,Ferrari,1986,11,Hungarian Grand Prix,16,5,0,414
391,McLaren,1986,11,Hungarian Grand Prix,63,2,2,414
392,Williams,1986,12,Austrian Grand Prix,102,1,7,415
393,Ferrari,1986,12,Austrian Grand Prix,26,5,0,415
394,McLaren,1986,12,Austrian Grand Prix,72,2,3,415
395,Williams,1986,13,Italian Grand Prix,117,1,8,416
396,Ferrari,1986,13,Italian Grand Prix,30,4,0,416
397,McLaren,1986,13,Italian Grand Prix,75,2,3,416
398,Williams,1986,15,Mexico City Grand Prix,135,1,9,418
399,Ferrari,1986,15,Mexico City Grand Prix,33,4,0,418
400,McLaren,1986,15,Mexico City Grand Prix,87,2,3,418
401,McLaren,1987,2,Emilia Romagna Grand Prix,16,2,1,389
402,Williams,1987,2,Emilia Romagna Grand Prix,16,1,1,389
403,Ferrari,1987,2,Emilia Romagna Grand Prix,7,4,0,389
404,McLaren,1987,3,Belgian Grand Prix,31,1,2,390
405,Williams,1987,3,Belgian Grand Prix,16,2,1,390
406,Ferrari,1987,3,Belgian Grand Prix,7,4,0,390
407,McLaren,1987,4,Monaco Grand Prix,31,1,2,391
408,Williams,1987,4,Monaco Grand Prix,22,2,1,391
409,Ferrari,1987,4,Monaco Grand Prix,14,4,0,391
410,McLaren,1987,7,British Grand Prix,39,2,2,394
411,Williams,1987,7,British Grand Prix,60,1,3,394
412,Ferrari,1987,7,British Grand Prix,17,4,0,394
