Driver_name,GrandPrix_name,0
Nyck de Vries,Italian Grand Prix,91219.49056603774
Pierre Gasly,Abu Dhabi Grand Prix,102629.04334365325
Pierre Gasly,Australian Grand Prix,91325.8984375
Pierre Gasly,Austrian Grand Prix,72637.6146572104
Pierre Gasly,Azerbaijan Grand Prix,126243.722513089
Pierre Gasly,Bahrain Grand Prix,95183.31073446327
Pierre Gasly,Belgian Grand Prix,117591.53107344633
Pierre Gasly,British Grand Prix,116276.9965034965
Pierre Gasly,Canadian Grand Prix,80305.06310679612
Pierre Gasly,Dutch Grand Prix,78650.1048951049
Pierre Gasly,Emilia Romagna Grand Prix,89515.96031746031
Pierre Gasly,Hungarian Grand Prix,90672.36177474403
Pierre Gasly,Italian Grand Prix,97437.78873239437
Pierre Gasly,Japanese Grand Prix,105135.75956284153
Pierre Gasly,Mexico City Grand Prix,84598.36571428571
Pierre Gasly,Miami Grand Prix,101927.55555555556
Pierre Gasly,Monaco Grand Prix,85412.05033557047
Pierre Gasly,Qatar Grand Prix,117578.03174603175
Pierre Gasly,Saudi Arabian Grand Prix,127389.7
Pierre Gasly,Singapore Grand Prix,118240.4388888889
Pierre Gasly,Spanish Grand Prix,87446.24137931035
Pierre Gasly,São Paulo Grand Prix,79285.82102272728
Pierre Gasly,United States Grand Prix,106354.14525139665
Sergio Pérez,Abu Dhabi Grand Prix,105602.74267100978
Sergio Pérez,Australian Grand Prix,94769.04537815126
Sergio Pérez,Austrian Grand Prix,72935.99175824175
Sergio Pérez,Azerbaijan Grand Prix,127294.65986394558
Sergio Pérez,Bahrain Grand Prix,96512.61699164346
Sergio Pérez,Belgian Grand Prix,120515.70308788598
Sergio Pérez,British Grand Prix,119655.74951830444
Sergio Pérez,Canadian Grand Prix,82282.01462522852
Sergio Pérez,Dutch Grand Prix,78842.0979020979
Sergio Pérez,Emilia Romagna Grand Prix,87471.9781420765
Sergio Pérez,Hungarian Grand Prix,88633.72701149425
Sergio Pérez,Italian Grand Prix,92597.04552845529
Sergio Pérez,Japanese Grand Prix,107868.73245614035
Sergio Pérez,Mexico City Grand Prix,84628.03455723543
Sergio Pérez,Miami Grand Prix,99559.57894736843
Sergio Pérez,Monaco Grand Prix,88854.75562218891
Sergio Pérez,Qatar Grand Prix,117805.53968253969
Sergio Pérez,Saudi Arabian Grand Prix,121445.34375
Sergio Pérez,Singapore Grand Prix,119942.21686746988
Sergio Pérez,Spanish Grand Prix,90736.17938420348
Sergio Pérez,São Paulo Grand Prix,86334.67138810198
Sergio Pérez,United States Grand Prix,106549.07370517928
Valtteri Bottas,Abu Dhabi Grand Prix,103887.84523809524
Valtteri Bottas,Australian Grand Prix,94112.29166666667
Valtteri Bottas,Austrian Grand Prix,72583.83911234397
Valtteri Bottas,Azerbaijan Grand Prix,126381.86754966888
Valtteri Bottas,Bahrain Grand Prix,95815.92964071856
Valtteri Bottas,Belgian Grand Prix,119815.50424929179
Valtteri Bottas,British Grand Prix,117375.80855018587
Valtteri Bottas,Canadian Grand Prix,80532.71252566735
Valtteri Bottas,Dutch Grand Prix,77618.648
Valtteri Bottas,Emilia Romagna Grand Prix,87641.4827586207
Valtteri Bottas,Hungarian Grand Prix,87836.19696969698
Valtteri Bottas,Italian Grand Prix,92367.10775047258
Valtteri Bottas,Japanese Grand Prix,107938.05927835051
Valtteri Bottas,Mexico City Grand Prix,84620.50304259635
Valtteri Bottas,Miami Grand Prix,99812.82456140351
Valtteri Bottas,Monaco Grand Prix,90274.15091210614
Valtteri Bottas,Qatar Grand Prix,101964.83333333333
Valtteri Bottas,Saudi Arabian Grand Prix,132101.43023255814
Valtteri Bottas,Singapore Grand Prix,120073.52412280702
Valtteri Bottas,Spanish Grand Prix,90104.88263665595
Valtteri Bottas,São Paulo Grand Prix,87078.82571912014
